course_code,course_title,credit_hours,course_desc,pre-requisite,course_objectives,course_outcomes
ACC300,Accounting Information Systems,4,"This course is the first module to introduce the domain of information systems in accounting. This is a Level 6 course and students need to have a good knowledge of financial accounting, obtained through Levels 4 and 5 accounting modules. Thus, it is strongly recommended that students study this course after studying Financial/Management accounting (B291 and B292).",B291 and B292,"​This course is designed to present an understanding of accounting information systems and their role in the accounting environment. Particular attention is paid to transaction cycles and internal control structure. The three broad aims of the course are to provide students with:an understanding of the purpose and role of accounting information systems within contemporary organisations.an awareness of the way in which internal controls and technology interrelate with accounting information systems.an understanding of the real-life problems of designing, implementing and using accounting information systems and its sub-cycles.","A. Knowledge and understandingA1: Explain what an accounting information system is and describe the basic function it performs.A2: Demonstrate understanding of the role and importance of accounting information systems in the various types of business and other organisations.A3. Identify information system documentation techniques and their use to understand, evaluate, and document an accounting information systems.A4. Explain the difference between database and file-based systems.A5: Discuss the relational database systems and informatively analyse and interpret accountant’s role of database systems development.A6: Describe the basic business activities and related data processing operations performed in the accounting cycles.A7: Identify and explain control procedures.​B. Cognitive skillsB1: Review and illustrate the purpose, context and functions of accounting information systems in business practices.B2: Critically assess the impact and effective use of information systems in organisations for competitive advantage.B3: Explain, analyse and apply the mechanism of system documentation techniques in the accounting cycle.B4. Compare approaches to AIS including Enterprise Information, Enterprise Resource Planning, etc.B5- Formulate a vision of the future and explain the evolving importance of AIS and Internal Controls due to the guidance and direction of Public Company Accounting Oversight Board (PCAOB) pronouncements.C. Practical and professional skillsC1: Prepare system documentation, and use data flow diagrams and flowcharts to understand, evaluate, and document information systems.C2: Design, implement, and effectively use relational database systems using MS-Access ​D. Key transferable skills.D1: Crucial participating in systems analysis and design.D2: Accounting systems are studied from an accounting cycles perspective, emphasizing the nature and relevance of accounting internal controls and the relationship of accounting systems to the functional areas of accounting."
ACC302,Principles of Auditing & Assurance Services,4,"The course describes the role of the public accountant, professional standards, professional ethics, legal liability, audit evidence and documentation, audit planning internal control, audit sampling & procedures to audit the financial statements. This course thus aims to provide an introduction to the principles and practices of auditing. It provides students with a sound understanding of fundamental auditing concepts and procedures, and the application of auditing standards. Accordingly, the course provides a foundation for students, who intend pursuing a specialised pathway in the auditing profession, as well as those who will pursue careers in accounting and other disciplines where principles of risk assessment, systems control and evaluation, and transaction testing are important. While the course focuses mainly on the practical application of an external financial audit.",B291 and B292,"​​This is an AOU based course. The goals of the providers of information may run somewhat counter to those of the users of information. Accordingly there is recognition of the social need for independent public accountants-individuals of professional competence and integrity who can tell us whether the information that we use constitutes a fair picture of what is really going on.On successful completion of BS312 course, students should be able to: 1) Determine an understanding of Certified Public Accountants, Professional standards, and Fundamental audit concepts. 2) Apply a range of audit procedures. 3) Apply auditing standards. 4) Demonstrate an understanding of the legal context within which auditing occurs.​","A. Knowledge and understandingA1 :Awareness and understanding of the role of the public accountant , audit standards, ethics , liability , audit evidence , documentation , audit planning, internal control , audit samplingA2: Demonstrate the ability to audit financial statements based on the standards and procedures A3:Audit of The Sales and Collection Cycle. A4: Audit of The Acquisition and Payment CycleB. Cognitive skillsB1: Understand the purpose of auditing and be able to investigate and identify procedures Plan the audit, investigate evidence & identify procedures. B2: Acquire understanding of the audit standards and how to apply them in the audit process B3: Be able to distinguish between the different types of audit reports and which report is mostly applicable for each situation.B4: Be able to identify the environmental influences that might impact the auditor’s plan and opinion.C. Practical and professional skillsC1: Perform basic audit based on auditing standards & GAAP.C2: Perform audit proceduresC3: Establish a relationship between the audit process and environmental influencesD. Key transferable skills.D1: Select appropriate procedures for auditing financial statement accountsD2: Prepare an audit program of a typical firmD3: Ability to dig out evidence from a variety of sources in order to achieve the specific audit objectives of financial statement accounts."
AR111,Arabic Communication Skills (I),3,"AR111 is three credit hour university requirements. It aims to enable students to acquire the Arabic language skills needed at university level, specifically: Arabic syntactic structures, grammatical inflection and case ending in spoken and written Arabic, ability to read Arabic texts in different disciplines, adequate training in writing and using dictionary",,​​,
AR112,Arabic Communication Skills (II),3,AR112 is a three credit hour university requirement. It aims at developing students’ skills in text analysis and literary appreciation. Students are introduced to the principles of accurate pronunciation and sound reading of texts. The course also provides training in Arabic rhetoric and literary genres.,AR111,​​,
B 324,Marketing and Society,8,"This course explores the theory and practice of responsible marketing, addressing the interrelated areas of corporate social responsibility and marketing ethics and the emergent area of social marketing. It examines the impact of established marketing techniques and practices on the promotion of social well-being and behavioural change. You will identify key ethical issues involved in marketing decision-making and the responsibilities of organisations to their stakeholders, including the wider community. Elements of marketing management (such as communications, research and planning) are examined within this wider framework at both a domestic and international level.",B205B,"​Marketing and Sociology. It is a level three course of the B.A. (Hons) in Business Studies with marketing degree. ​This course will develop student's ability to synthesise arguments and assumptions from a variety of sources and perspectives, critically evaluate them and apply relevant concepts in a range of contexts. In particular, student will learn concepts, theories and debates about the roles and responsibilities of marketing in society:Identification and critical analysis of relevant issues involved in responsible marketingApplication of marketing thinking to health and social behaviourApplication of responsible marketing to own professional contextSensitivity to the problems and challenges in both commercial and social marketing.Explore how marketing concepts and techniques can be applied to the marketing of social issues as opposed to the more traditional area of commercial marketing;Examine how social marketing approaches can change behaviour in order to achieve socially desirable goals;Illustrate, through case study examples, the application of concepts and techniques to 'real world' social marketing problems.The course is a new development in the optional courses of the BA Business Studies Programme.  Marketing in Society will build upon the students understanding of aspects of marketing gleaned from earlier courses within the programme but will focus on the importance of responsible marketing.Students will learn to integrate and use information and/or data appropriately in complex contexts. They will also learn to recognise the limitations of knowledge in the area. The course will provide you with opportunities to develop skills in effective communication of ideas and arguments to relevant audiences. You'll be encouraged to manage your learning and reflect on your development as an independent learner.The principal learning method used in the course will be problem-based. Usually, students will encounter a short or long case study. They will be expected to make sense of, discuss, analyse, synthesise and evaluate issues and possibilities in the case study. You'll do this by applying your existing knowledge and any new knowledge you can gather from the supplied textbooks, journal articles, electronic sources and course participants. You'll gain knowledge and understanding in the areas of ethics, corporate social responsibility, social marketing, and ethical issues in commercial marketing. The way you are assessed and what you will be assessed on will mirror how you learn and what you learn; the assessment will constitute part of the learning.","​A. Knowledge and understandingA1: To understand and apply concepts, theories and debates about the roles and responsibilities of marketing in society to real life situationsA2: Apply marketing thinking to the field of health and social behaviourA3: Demonstrate an understanding about ethics and marketingA4: Green and environmental marketing, sustainability, fair trade and ethical consumptionB. Cognitive skillsB1: Evaluate the relevance of course concepts to a variety of other contextsB2 Synthesise and critical evaluate arguments and assumptions from a variety of sources and competing perspectivesB3. Recognise the limitations of knowledge in the areaC. Practical and professional skillsC1: Apply responsible marketing to their own professional context or one they are familiar with C2:Demonstrate a sensitivity to the problems and challenges in both commercial and social marketingD. Key transferable skills.D1: Identify and critically analyse relevantissues involved in responsible socialand commercial marketingD2: Effectively communicate ideas and arguments to relevant audiencesD3: Integrate and use information and/or data in complex contextsD4: Manage own learning and reflect on their development as an independent learner​"
B122,An Introduction to Retail management and Marketing,8,"It is an introductory Level 1 course. As the retail industry is highly dynamic and innovative, this course looks at how retailing has developed within a business context, and how retail outlets work and apply retail marketing. It offers a balance between theory and practice that is innovative and engaging. During your studies you will consider contemporary factors that affect retailing: globalization; the impact of ever-changing technology; and social and ethical issues. This course is designed for retail industry employees wishing to develop a career in management, and anyone interested in working in the retail sector, or simply wanting to know more about the world of retailing.",BUS110,"​The academic aims of this module is to introduce you to the main functions and management ofa retail business and the key issues associated with understanding retail trading and retailenvironments. After studying the course, you should be able to:Explain relevant theories and concepts of retailingDescribe the key elements of a retail business and the retail trading environmentDiscuss issues associated with operating a business in a retail environment/contextOutline the key course topics and explain why each topic is important to understanding the principles of retail managementExplain linkages between components of the courseOrganise your studies, including paper-based and computer-based servicesContinue to develop your awareness of how you learn and how different elements of the course applied to your individual learning style.","​A. Knowledge and understandingA1: retail technology, which focuses on the virtual world of e-retailing;A2: the diversity of retail products and sectors;A3: retail ethics and the environmental impact;A4: the implications of globalisationB. Cognitive skillsB1: Reflection and critical engagement into both domestic retail technology and e-retailingB2: Critical thinking, analysis, and synthesisB3: Valuation and comparison of retail management.C. Practical and professional skillsC1: Time management, skills appropriate to business, such as creativity, persuasion and attractiveness.C2: Study skills, learning to learn and reflecting on students’ own development as learners.C3: The ability to analyse work-related cases and situations to identify challenges for organisations in developing responses in relation to their environments.C4: The application of course ideas to students’ own interactions with organisations and life experiences.D Key transferable skillsD1: Decision making and problem solving making a viable approach to students to engage with data analysis, interpretation and extrapolation.D2: Immerse in related information, arguments and ideas.D3: Identify some of the key strengths and needs of their own learning and identify opportunities to address these.​"
B123,Management Practice,8,"This course introduces management ideas and uses activities to build on existing knowledge and skills through the application of management theory. It’s suitable if you’ve studied any introductory course and want to complete the Certificate in Business Studies or gain 30 credits towards our BA (Hons). This introductory Level 1 course introduces management ideas and uses activities to build on your existing knowledge and skills. You’ll also use your own workplace experiences to develop an academic understanding of management and valuable study skills, which you’ll demonstrate by writing about management and reflecting on your own skills as a learner.",BUS110,"By the end of this course you’ll have developed a new, more theoretical understanding of how and why managers do what they do in organisations. You’ll build a toolkit of management concepts, theories and models that you can use to tackle workplace issues. You’ll also feel more confident in embarking on further undergraduate study.​","​A. Knowledge and understandingA1. Demonstrated how learning they have undertaken previously in the workplace can be utilised to inform the development of their management practiceA2. Selected and used a range of management theories, concepts and ideas to help identify, analyse and address issues and situations in their current practice setting.A3. Worked in collaboration with others in assessing the applicability of selected management theories, etc. to their own and others’ identified practice problems.A4. Reflected on the impact of their learning on their practice of management, and their future development as a management practitioner.B. Cognitive skillsB1. Identify and draw upon appropriate forms of prior learning relating to the development of their management practice.B2. Apply relevant theoretical knowledge of management to a practical problem.B3. Collaborate with peers’ practitioners to, and begin to, critically evaluate the applicability of selected management theories etc.B4. Reflect productively on the development of their practice of management.C. Practical and professional skillsC1. Communicate their understanding of management theory and its application to practice in writing.C2. Work independently on identifying issues and situations in the workplace and apply academic theories and concepts to these to gain a deeper understanding of them.D. Key transferable skills.D1. Use of a range of tools and websites for finding and recording information online: internet browsers, search engines, copy/ paste, e-portfolios and download functionsD2. Communicate with peer learners via synchronous and asynchronous online media.​"
B124,Fundamentals of Accounting,8,"This module provides a broad introduction to accounting study at the university level.  It covers the fundamentals of financial and management accounting as well as the essential skills, knowledge and ethics required to be a professional accountant. Fundamentals of Accounting module is required for all business with accounting track. It is strongly recommended that students study this module before Financial accounting (B291) and Management accounting (B292). ​​",BUS110,"​​​It aims to equip students with the essential principles of measuring management performance and improving financial planning, control and decision-making. Students can gain an understanding of financial reports through their preparation, based on the double-entry bookkeeping system which is essential for the management of any organisation.  ​​","​A. Knowledge and understandingA1: Awareness and understanding of the role of accounting in business and other organisations and of its theory, principles, concepts, practices, techniques, ethics, limitations, and techniques central to bookkeeping and accounting.A2:Demonstrate the ability to prepare financial statements based on application of accounting concepts, regulations and principles.A3: Demonstrate understanding of the types of costs and how they behave in order to calculate cost-volume-profit relationships,A4: Demonstrate understanding of management's decision-making process as it relates to product pricing, production, adding and dropping, etc.A5: Demonstrate understanding of the types of budgets and be able to prepare operating budgets, financial budgets and capital budgets.A6:Demonstrate understanding of the responsibility centers and balanced scorecard.B. Cognitive skillsB1: Review and illustrate the purpose, context and environmental influences and constraints on financial accounting and business practices.B2: Explain the balance sheet equation, the basic financial statements and the information conveyed in each of the statements.B3: Explain the steps in the accounting cycle for service and merchandising companies.B4:Explain the relevant factors in making different decisions.B5: Explain methods that don't use present value versus those that do use present valueB6: Explain the features of responsibility reports and differentiate between cost centres, profit centres and investment centres.C. Practical and professional skills​C1:Record transactions and events, and maintain accounting records as required for bookkeeping and accounting.C2:Prepare basic financial statements based upon Generally Accepted Accounting Principles.C3: Develop the general practical and professional skills of management accounting that can be used for personal and career goals.D Key transferable skillsD1: Use simple mathematics for the purpose of calculations in bookkeeping, accounting and preparing/analysing financial statements, including basic ratio analysis.D2: Compare critically and use different approaches to issues and problems within management accounting.D3: Communicate management accounting information effectively and appropriately.​D4: Use fundamental business mathematics and other quantitative methods effectively and appropriately."
B205A,Exploring innovation and entrepreneurship,8,"This module provides students with a broad foundation in innovation and entrepreneurship. The course is composed of two parts A and B. Part A of it comprises 14 study weeks (one semester). And is structured into 2 (out of the five) linked blocks. It also forms part of the new undergraduate qualification BA Business Management and BA Business Marketing. Students will be introduced to core concepts of entrepreneurship and innovation. They will also examine the theoretical and practical connections between these distinct yet closely-interrelated fields of study.  Block 1: Core concepts Introduces core concepts of innovation and entrepreneurship and gives the student an opportunity to examine ‘what it all means for me’. It also introduces students to each other, creates confidence, and promotes teambuilding in preparation for Block 2.  Block 2: Teams and networks Block 2 focuses on the skills required to create teams, build networks and to secure the necessary resources in the context of an innovative, entrepreneurial venture. It also introduces and develops the underpinning knowledge and understanding on key areas, including teams, networks, resource acquisition and legitimacy-building, in preparation for the new venture creation activity (Block 4 of B205B).",B207B,"​B205A academic aim is to introduce students to number of fundamental concepts and theories of entrepreneurial innovation. It also re-apply some generic business and management concepts in an entrepreneurial and innovation-related concept (e.g. entrepreneurial marketing and entrepreneurial finance. The coverage of innovation and entrepreneurship subjects will be wide-ranging and integrative, with the aim of providing the necessary foundations for interested students to progress to a more in-depth study of specialist topics within this subject area during their level 3 studies.Progression is also addressed within B205A - with a gradual development of knowledge and skills from Block 1 and Block 2 (covered in Part A of the course) through Block 3, Block 4 and Block 5 (covered in Part B of the course, B207B). There will be a logical progression of subject matter, from an introduction to core concepts in innovation and entrepreneurship (Block 1), followed by a more skills-oriented examination of teams, networks and associated concepts (Block 2), a comparative study of innovation and entrepreneurship in different contexts (Block 3), a simulated experience of entrepreneurial team-working and innovation (Block 4) and an opportunity for reflection and integration (Block 5). Study and employment skills will be integrated into the learning activities, with a particular focus on digital literacy, creative thinking and problem solving, team-working, persuasive communication and more general personal development and enterprise-related skills.","A. Knowledge and understandingA1: knowledge of different forms of innovative and entrepreneurial practice around the world and at different scales, including: technological and social innovation; commercial and social enterprise; independent and corporate entrepreneurship.A2: understand different research perspectives on innovation and entrepreneurship, recognising that these subjects can be studied at multiple levels of analysis.A3: familiarize with core theories, concepts and frameworks that have been applied to innovation and entrepreneurship, with a particular focus on their implications for practice.A4: Know the relationship between innovation and entrepreneurship, both at a conceptual and a practical level.B. Cognitive skillsB1: Distinguish the key components of innovative and entrepreneurial processes and practices kinds (i.e. in comparison with more routinised approaches)B2: Select innovative and entrepreneurial approaches that are likely to be appropriate in particular organisational contexts.C. Practical and professional skills​C1: Identify, search for and pursue entrepreneurial opportunities, with the aim of creating sustainable business models.C2: Negotiate, influence, and gain legitimacy in an entrepreneurial setting.C3: Engage in creative problem-solving.C4: Apply design thinking approaches in order to develop practical solutions.C5: Deploy effective networking and persuasive communication skills.D. Key transferable skills.D1: Work constructively and ethically in entrepreneurial settings, which may be characterised by ambiguity, complexity and open-ended challenges.D2: Display resilience and an on-going capacity to learn from direct personal experiences, and those of others."
B205B,Exploring innovation and entrepreneurship,8,"This module provides students with a broad foundation in innovation and entrepreneurship. The course is composed of two parts A and B. Part A of it comprises 14 study weeks (one semester). And is structured into 2 (out of the five) linked blocks. It also forms part of the new undergraduate qualification BA Business Management and BA Business Marketing. Students will be introduced to core concepts of entrepreneurship and innovation. They will also examine the theoretical and practical connections between these distinct yet closely-interrelated fields of study. Block 1: Core concepts Introduces core concepts of innovation and entrepreneurship and gives the student an opportunity to examine ‘what it all means for me’. It also introduces students to each other, creates confidence, and promotes teambuilding in preparation for Block 2. Block 2: Teams and networks Block 2 focuses on the skills required to create teams, build networks and to secure the necessary resources in the context of an innovative, entrepreneurial venture. It also introduces and develops the underpinning knowledge and understanding on key areas, including teams, networks, resource acquisition and legitimacy-building, in preparation for the new venture creation activity (Block 4 of B205B).",B207B,"​B205A academic aim is to introduce students to number of fundamental concepts and theories of entrepreneurial innovation. It also re-apply some generic business and management concepts in an entrepreneurial and innovation-related concept (e.g. entrepreneurial marketing and entrepreneurial finance. The coverage of innovation and entrepreneurship subjects will be wide-ranging and integrative, with the aim of providing the necessary foundations for interested students to progress to a more in-depth study of specialist topics within this subject area during their level 3 studies.Progression is also addressed within B205A - with a gradual development of knowledge and skills from Block 1 and Block 2 (covered in Part A of the course) through Block 3, Block 4 and Block 5 (covered in Part B of the course, B207B). There will be a logical progression of subject matter, from an introduction to core concepts in innovation and entrepreneurship (Block 1), followed by a more skills-oriented examination of teams, networks and associated concepts (Block 2), a comparative study of innovation and entrepreneurship in different contexts (Block 3), a simulated experience of entrepreneurial team-working and innovation (Block 4) and an opportunity for reflection and integration (Block 5). Study and employment skills will be integrated into the learning activities, with a particular focus on digital literacy, creative thinking and problem solving, team-working, persuasive communication and more general personal development and enterprise-related skills.","A. Knowledge and understandingA1: knowledge of different forms of innovative and entrepreneurial practice around the world and at different scales, including: technological and social innovation; commercial and social enterprise; independent and corporate entrepreneurship.A2: understand different research perspectives on innovation and entrepreneurship, recognising that these subjects can be studied at multiple levels of analysis.A3: familiarize with core theories, concepts and frameworks that have been applied to innovation and entrepreneurship, with a particular focus on their implications for practice.A4: Know the relationship between innovation and entrepreneurship, both at a conceptual and a practical level.B. Cognitive skillsB1: Distinguish the key components of innovative and entrepreneurial processes and practices kinds (i.e. in comparison with more routinised approaches)B2: Select innovative and entrepreneurial approaches that are likely to be appropriate in particular organisational contexts.C. Practical and professional skills​C1: Identify, search for and pursue entrepreneurial opportunities, with the aim of creating sustainable business models.C2: Negotiate, influence, and gain legitimacy in an entrepreneurial setting.C3: Engage in creative problem-solving.C4: Apply design thinking approaches in order to develop practical solutions.C5: Deploy effective networking and persuasive communication skills.D. Key transferable skills.D1: Work constructively and ethically in entrepreneurial settings, which may be characterised by ambiguity, complexity and open-ended challenges.D2: Display resilience and an on-going capacity to learn from direct personal experiences, and those of others.​​"
