course_code,course_title,credit_hours,course_desc,pre-requisite,course_objectives,course_outcomes
AR111,Arabic Communication Skills (I),3,"AR111 is three credit hour university requirements. It aims to enable students to acquire the Arabic language skills needed at university level, specifically: Arabic syntactic structures, grammatical inflection and case ending in spoken and written Arabic, ability to read Arabic texts in different disciplines, adequate training in writing and using dictionary",,,
AR112,Arabic Communication Skills (II),3,AR112 is a three credit hour university requirement. It aims at developing students’ skills in text analysis and literary appreciation. Students are introduced to the principles of accurate pronunciation and sound reading of texts. The course also provides training in Arabic rhetoric and literary genres.,AR111,,
B207-A,Shaping Business Opportunities,8,"B207A is an 8-credit (30 points), Level 5 UK-OU based course offered through the Business Program at the Arab Open University as a compulsory course for all students enrolled in all tracks in the program. Entry into this course is contingent upon the successful completion of BUS110. The B207 module in this new study plan is an OU updated version of its equivalent B203A module.",,"This module is designed to provide intermediate conceptual and practical learning to students in operations management, marketing and human resource management. The module comprises 16 study weeks (including final assessment).","A. Knowledge and understandingAt the end of the module, learners will be expected to:Develop a critical appreciation of the interactions between various business functions (operations management, marketing and human resource management) and the integrative complexity that shapes business innovation.Develop a critical understanding of why new products and services are imperative to contemporary business practice. Also to develop knowledge and understanding of external issues affecting the successful running of organizations, including how they compete in a global context.Develop knowledge and understanding of the elements required to build long-term success in organizations, and how students can contribute to the fostering of long-term value creation.develop knowledge and critical understanding of the theories, concepts and models of different business functions (operations management, marketing and human resource management).B. Cognitive skillsAt the end of the module learners will be expected to:Select andcritically analyse information relevant to a particular problem or issue related to business and management.Evaluate and compare competing perspectives, theoretical models and concepts in the context of practical situationsGather and synthesise material from a variety of sources in constructing arguments applied to business and managementC. Practical and professional skillsAt the end of the module, learners will be expected to:Communicate in a professional manner in written work, face to face and online. Plan, monitor and review progress as independent learner, including a focus on personal skills development.Develop an awareness of ethical issues and professional standards relevant to business and managementD. Key transferable skillsAt the end of the module, learners will be expected to:Search for and use relevant digital and non-digital information from sources other than the module materials.Compare critically and use different approaches to issues and problems within business management. Engage in critical reflection.Consolidate an understanding of academic language and literacy practices in order to effectively engage with the academic knowledge and skills of Level 5 study."
B207-B,Shaping Business Opportunities,8,"B207B is an 8-credit (30 points), Level 5 UK-OU based course offered through the Business Program at the Arab Open University as a compulsory course for all students enrolled in all tracks in the program. Entry into this course is contingent upon the successful completion of B207A.",,This module is designed to provide intermediate conceptual and practical learning to students in management and accounting. The module comprises 16 study weeks (including final assessment).,"A. Knowledge and understandingAt the end of the module, learners will be expected to:Develop a critical appreciation of the interactions between various business functions (management and accounting) and the integrative complexity that shapes business innovation.Develop knowledge and understanding of the elements required to build long-term success in organizations, and how students can contribute to the fostering of long-term value creation.develop knowledge and critical understanding of the theories, concepts and models of different business functions.B. Cognitive skillsAt the end of the module learners will be expected to:Select andcritically analyse information relevant to a particular problem or issue related to business and management.Evaluate and compare competing perspectives, theoretical models and concepts in the context of practical situationsGather and synthesise material from a variety of sources in constructing arguments applied to business and managementC. Practical and professional skillsAt the end of the module, learners will be expected to:Communicate in a professional manner in written work, face to face and online. Plan, monitor and review progress as independent learner, including a focus on personal skills development.Develop an awareness of ethical issues and professional standards relevant to business and managementD.Key transferable skillsAt the end of the module, learners will be expected to:Search for and use relevant digital and non-digital information from sources other than the module materials.Compare critically and use different approaches to issues and problems within business management. Engage in critical reflection.Consolidate an understanding of academic language and literacy practices in order to effectively engage with the academic knowledge and skills of Level 5 study."
BE322/4,Entrepreneurship & Small Business Management,4,"BE322 is an introductory four credit undergraduate course. It assumes no deep knowledge of business. Indeed, it provides students with an overview of business in an-increasingly global society. This is not a course of theory; it is more an application or ""how-to"" course. It is designed to increase awareness of the opportunities and challenges in today's business environment. The success of any business depends upon several factors: marketing, management and leadership, human resources, financing, logistics, planning, and knowledge of the business environment. An overview of business topics will be discussed including the entrepreneur's success factors, developing business plans, forms of business ownership, management and leadership styles, marketing and market research, technology and e-commerce, understanding financial statements and testing the feasibility and viability of a new venture.",B120,,
BUS110,Introduction to Business,8,"""Introduction to Business” is an introductory course, which surveys the role of business in society. At its simplest level, business is the exchange of goods and services for mutual benefit or profit. Students will be exposed to a wide variety of topics including the terms, trends, organizational structure and opportunities inherent in this exchange, the course introduces the student to the contemporary business world, the business of managing, people in organizations, the principles of marketing, managing information, and financial issues.",,"The primary objective is to give the student an understanding of basic business principles. Global business, entrepreneurship, management, marketing, information technology, and financialmanagement will be discussed. Another purpose of this course is to build a foundation of knowledge on the different theoretical approaches to management and decision making • develop analytical skills to identify the links between the functional areas in management, organisations, management practices and the business environment.Learning Objectives: Upon completion of the course students will have a firm understanding of the following business topics:Therelationship between business and society in a free market economyCommon forms of business ownershipBusiness ethics and social responsibilityInternational business and the global economyFundamentals of business managementBusiness organization and structureHuman resources, motivation and productivityMarketing, accounting, finance, operations management and other business specialties","A. Knowledge and understandingAt the end of the module, learners will be expected to:Identify business functionsRecognize different business models and formsAcquire knowledge of business ethics and social responsibilityBe aquatinted with the fundamentals of management.B. Cognitive skillsAt the end of the module learners will be expected to:Differentiate between business structures and business forms.Examine different models and theories and its effect in business lifeanalysing and evaluating different perspectives, identifying biases and hidden assumptions in different models and forms of businesses.C. Practical and professional skillsAt the end of the module, learners will be expected to:Analyse different business-related situations and forms.Deduce problems and solutions and its pathwaysD. Key transferable skillsAt the end of the module, learners will be expected to:Read financial and business related reportsCommunicate knowledge and understanding of business issues to different stakeholders.Analyse situations in an academic manner."
BUS310,Strategic Management,8,"Strategic Management: This module examines concepts and  the different approaches to - and techniques of - strategic management including analysis of the external and internal environments, the nature of competitive advantage, development of the organization and how they make strategic choices as to where and how to position themselves in relation to their customers and competitors. The module   has been designed to encourage and develop greater critical analytical skills especially at level 3. Significant amount of ‘case study’ work have been embedded to develop the students’ analytical and problem solving skills.",,Provide students with concepts and tangible strategic skills that can readily be put into practice in often changing business environments.Present the 21st century competitive/business landscape from a strategic management perspective and to assess how global and technological influences shape itProvide students with a critical overview of the main tools of contemporary strategic practice in organizations in a way which is relevant to their professional needsAchieving the intended learning outcomes (covering both knowledge and skills) fully supports this aim.,"A.Knowledge andunderstandingAttheendofthemodule,learnerswill beexpectedto:develop anddemonstratethefollowingKnowledgeandunderstanding:The structure and dynamics of business environments; how businesses seek to track and analyse their environments;Markets, market economies and how they function; how consumers, firms and governments behave as economic agents; why and how markets fail and how this failure is managed;Business processes and how they operate; the nature, structure and functioning of organisations; how and why organisations are changing;Key business functions such as Marketing, Human Resources, Information Management, Accounting & Finance, Operations – their nature and contribution to organisational success, their historic origins and their interactions;How businesses develop strategies; the different forms and theories of strategy;How organisations make decisions and organise decision-making processes; the various sources of decision-making irrationality; the nature, role and implications of governmental, regional and supranational business policy on businesses;How to apply key ideas in mathematics, including some statistics, and algebra.B.CognitiveskillsAt the end of the module learners will be expected to:Read material questioningly, identifying and recording key ideas and concepts in business studies;Synthesise material from a variety of sources, analysing and evaluating different perspectives, identifying biases and hidden assumptions;Classify, recognise and organise material in distinct and relevant categories;Construct, defend and evaluate an argument, using relevant evidence, giving reasons for conclusions.C.Practicaland professional skillsAt the end of the module, learners will be expected to:Transfer and use relevant key skills in the workplace context;Use the more specific knowledge, analytic skills and methods, rooted in the different disciplines as a strong basis for work in many professions;Students will have become better informed, more active and questioning members of an organisation by:The ability to engage critically with the underlying challenges and problems facing a business;The ability to identify and evaluate conflicting arguments, including recognising the significance of different value positions in these arguments.D.Keytransferable skillsAt the end of the module, learners will be expected to:Interpersonal skills of effective listening, negotiating, persuasion and presentation;Ability to conduct research into business and management issues, either individually or as part of a team for projects/dissertations/presentations. This requires familiarity with and an evaluative approach to a range of business data, sources of information and appropriate methodologies, and for such to inform the overall learning process; including the development of personal and team attributes and capabilities for entrepreneurial success;Self reflection and criticality including self awareness, openness and sensitivity to diversity in terms of people, cultures, business and management issues;Skills of learning to learn and developing a continuing appetite for learning; reflective, adaptive and collaborative learning."
CH101,Chinese for Beginners (I),3,"The course introduces the student to the basics of Chinese (Mandarin). These include the alphabet, common everyday expressions, simple sentences, short dialogues and small paragraphs. The four skills of reading, writing, listening and speaking will be equally emphasized. However, as we live in the age of the image, students will have ample exposure to a variety of audio-visual material which boost their command of the language at the beginner’s level.  The communicative approach is to be adopted in face-to-face tutorials and the various methods of enabling students to learn on their own will be prioritized.",,,
CH102,Chinese for Beginners (II),3,"The course builds on what the student has learnt in level (1). Toward this end, it introduces the student to more everyday expressions, more widely-used short sentences, some compound and complex sentences, medium-size dialogues, and short passages. While the skills of listening and speaking will be receiving adequate attention, more emphasis is to be placed on the skills of reading and writing.  Face-to-face tutorials will be communicative and students will be empowered to learn on their own.",CH101,,
CS240,Introduction to computer Graphics,4,"This module targets to cope with the current advances in computer graphics and multimedia and providing clear and concise explanations of the basic concepts of computer graphics and multimedia. This module is expected to enable students to gain understanding of basics of modelling, viewing, animation principles in both 2D and 3D and the impact of such topics on modern multimedia aspects.",M132,"Introduce all aspects of the hardware and software components of computer graphics.Provide Knowledge to perform 2D and 3D geometric transformations.Describe the algorithms for projection, viewing and clipping of graphs.Identify how to graphics software and hardware.Provide Knowledge to evaluate the performance of graphics systems.",
EL111,Communication Skills in English 1,3,"EL111 is three credit hour university requirements. It aims to develop in students the skills of listening, speaking, reading and writing in English, together with attention to function and correct use of vocabulary and grammar. The course introduces thematic topics which aim at developing critical thinking skills. In addition, learning strategies such as prior knowledge, scanning for specific information, skimming for main idea and getting meaning from context are emphasized.",EF003,,
EL112,Communication Skills in English 2,3,"EL112 is an advanced integrated skills course which builds on knowledge gained from EL111. The course continues to develop the four communication skills of listening, speaking, reading and writing to a more advanced level. In addition, students start to write longer essays.",EL111,,
EL118,Reading Comprehension,4,"This is a four-credit-hour module of one semester in length. The module aims to help students become better readers of English texts and build their vocabulary. It focuses on expanding students’ reading skills and vocabulary use so that they can cope with different academic, professional and social situations effectively. The course applies the Interactive Reading model where reading is an active process in which readers draw upon top-down processing (bringing meaning to the text), as well as bottom-up processing (decoding words and other details of language). The top-down aspect of this construct suggests that reading is facilitated by interesting and relevant reading materials that activate a range of knowledge in a reader's mind. This knowledge is refined and extended during the act of reading. The bottom-up aspect of this model suggests that the students need to pay attention to language proficiency, including vocabulary. As an academic reading course, it addresses the teaching of higher level reading strategies without neglecting the need for language support. In addition, it addresses both sides of the interactive model. High-interest academic readings and activities provide students with opportunities to draw upon authentic life experience in their mastery of a wide variety of reading strategies and skills, including • previewing • outlining • skimming and scanning • using context clues to clarify meaning • finding the main idea • isolating causes and effects • annotating and highlighting • categorizing • interpreting visuals • describing trends • making inferences. • understanding analogies • analysing criteria • analysing advantages and disadvantages • identifying ethics and values • synthesizing information from several sources • summarizing • evaluating generalizations The course optimizes the reciprocal relationship between reading and vocabulary. Rich vocabulary instruction and practice that targets vocabulary from the Academic Word List (AWL) provide opportunities for students to improve their language proficiency and their ability to decode and process vocabulary. The course also provides some resources to help students read with comprehension and use that knowledge to develop both a rich academic vocabulary and overall academic language proficiency, especially reading skills. The module prepares the students to write academic essays reflecting on a topic under discussion that will help them pursue their academic study throughout different core modules.",EL111,,"A.Knowledge and understandingAt the end of the module, learners will be expected to:A1.demonstrate understanding of any given reading passages by responding correctly to its tasks and activities individually or in groups.A2.show knowledge and understanding of the learned reading strategies.A3.show recognition of the various “meanings"" of words to reach a better understanding of the context and the written word.A4.reveal awareness of appropriate language structures and vocabulary items suitable for different contexts and situations.B.Cognitive skillsAt the end of the module, learners will be expected to:B1.search for and collect specific data related to the topics under discussion.B2.draw conclusions for the discussed topics based on the collected data and analyzed information.B3.incorporate in writing the words learned in real life scenarios.B4. improve the analytical and critical thinking skills through the identification of possible “meanings"".B5.analyze language functions used and identify useful language expressions.C.Practical and professional skillsAt the end of the module, learners will be expected to:C1.communicate in English orally and in writing on diverse occasions.C2.identify problems in the given topics and provide creative solutions.C3.give oral presentations using power points, flipcharts, pictures, role plays, etc. to discuss what has been read orally.C4.assess the work done using self/peer-assessment.D.Key transferable skillsAt the end of the module, learners will be expected to:D1.enrich vocabulary repertoire through exploring new assigned topics and writing on those topicsD2.develop communicative confidence (as reader and writer)D3.discuss all posed topics, problems, provided solutions and drawn conclusions.D4.develop effective presentation skills that would enhance self-confidence."
FR101,French for Beginners (I),3,"The course introduces the student to the basics of French. These include the alphabet, common everyday expressions, simple sentences, short dialogues and small paragraphs. The four skills of reading, writing, listening and speaking will be equally emphasized. However, as we live in the age of the image, students will have ample exposure to a variety of audio-visual material which boost their command of the language at the beginner’s level.  The communicative approach is to be adopted in face-to-face tutorials and the various methods of enabling students to learn on their own will be prioritized.",,,
FR102,French for Beginners (II),3,"The course builds on what the student has learnt in level (1). Toward this end, it introduces the student to more everyday expressions, more widely-used short sentences, some compound and complex sentences, medium-size dialogues, and short passages. While the skills of listening and speaking will be receiving adequate attention, more emphasis is to be placed on the skills of reading and writing.  Face-to-face tutorials will be communicative and students will be empowered to learn on their own.",FR101,,
GR 117,Empowerment of Women,3,"This course focuses on empowering women and activating their role in leading political, economic and social development.",,,
